Combination,Frequency
"(4, 6, 15, 22, 27)",2
"(4, 6, 15, 22, 70)",2
"(4, 6, 15, 27, 70)",2
"(4, 6, 22, 27, 70)",2
"(4, 15, 22, 27, 70)",2
"(6, 12, 43, 73, 78)",2
"(6, 15, 22, 27, 70)",2
"(12, 30, 36, 38, 43)",2
"(20, 36, 50, 59, 73)",2
"(20, 36, 50, 59, 78)",2
