Number,Frequency
1,25
2,22
3,28
4,25
5,20
6,17
7,18
8,19
9,17
10,16
11,23
12,20
13,22
14,23
15,16
16,21
17,21
18,16
19,19
20,21
21,28
22,26
23,16
24,32
25,19
26,24
27,25
28,24
29,16
30,14
31,23
32,18
33,21
34,13
35,25
36,21
37,14
38,19
39,24
40,21
41,20
42,22
43,20
44,24
45,13
46,12
47,16
48,26
49,18
50,24
51,16
52,13
53,21
54,17
55,22
56,20
57,20
58,19
59,23
60,17
61,17
62,20
63,18
64,18
65,22
66,20
67,16
68,29
69,14
70,19
71,14
72,15
73,22
74,31
75,17
76,20
77,17
78,19
79,15
80,22
