draw_id,draw_time,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,freq_1,freq_2,freq_3,freq_4,freq_5,freq_6,freq_7,freq_8,freq_9,freq_10,freq_11,freq_12,freq_13,freq_14,freq_15,freq_16,freq_17,freq_18,freq_19,freq_20,freq_21,freq_22,freq_23,freq_24,freq_25,freq_26,freq_27,freq_28,freq_29,freq_30,freq_31,freq_32,freq_33,freq_34,freq_35,freq_36,freq_37,freq_38,freq_39,freq_40,freq_41,freq_42,freq_43,freq_44,freq_45,freq_46,freq_47,freq_48,freq_49,freq_50,freq_51,freq_52,freq_53,freq_54,freq_55,freq_56,freq_57,freq_58,freq_59,freq_60,freq_61,freq_62,freq_63,freq_64,freq_65,freq_66,freq_67,freq_68,freq_69,freq_70,freq_71,freq_72,freq_73,freq_74,freq_75,freq_76,freq_77,freq_78,freq_79,freq_80,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21,gap_22,gap_23,gap_24,gap_25,gap_26,gap_27,gap_28,gap_29,gap_30,gap_31,gap_32,gap_33,gap_34,gap_35,gap_36,gap_37,gap_38,gap_39,gap_40,gap_41,gap_42,gap_43,gap_44,gap_45,gap_46,gap_47,gap_48,gap_49,gap_50,gap_51,gap_52,gap_53,gap_54,gap_55,gap_56,gap_57,gap_58,gap_59,gap_60,gap_61,gap_62,gap_63,gap_64,gap_65,gap_66,gap_67,gap_68,gap_69,gap_70,gap_71,gap_72,gap_73,gap_74,gap_75,gap_76,gap_77,gap_78,gap_79,gap_80,is_7_hit,repeats_from_last_draw,odd_count,even_count,sum_total,low_numbers_count,high_numbers_count,std_deviation,most_common_hits,consecutive_count,unique_modulo_10
1000010,2023-02-09 12:20:00,15,38,69,30,80,46,54,21,53,78,32,7,48,10,63,47,68,28,1,70,4,2,0,2,3,2,5,2,1,4,1,3,6,5,3,3,2,2,1,2,4,2,4,2,1,2,1,2,1,4,3,2,5,3,2,3,6,4,4,3,1,3,2,4,2,3,3,9,1,2,2,4,2,3,5,2,0,5,1,2,5,2,1,3,2,1,2,3,3,5,2,2,3,3,5,1,0,4,3,3,6,4,-1,6,3,4,2,1,4,3,9,1,1,2,2,2,4,7,7,1,2,4,5,3,3,2,4,1,8,7,3,1,1,1,1,1,4,2,3,2,9,2,9,2,3,1,3,1,3,3,7,4,6,1,1,1,-1,1,1,2,5,3,-1,5,9,6,6,2,7,1,2,5,1,3,1,3,-1,2,2,9,1,6,8,12,858,9,11,24.335159748807897,4,5,10
1000011,2023-02-09 12:25:00,71,22,80,66,67,23,63,73,39,55,34,33,15,25,1,43,40,18,56,70,5,2,0,2,3,2,5,2,1,4,1,3,6,5,4,3,2,3,1,2,4,3,5,2,2,2,1,2,1,4,3,2,6,4,2,3,6,4,5,4,1,3,3,4,2,3,3,9,1,2,2,4,2,3,6,3,0,5,1,2,5,2,2,3,2,2,3,3,3,6,3,2,4,3,5,1,0,4,3,4,1,5,-1,7,4,5,1,2,5,1,10,2,2,3,1,3,5,8,8,2,1,5,6,4,4,3,5,1,9,1,4,1,2,2,2,2,5,1,4,3,10,3,10,3,4,1,1,1,4,4,8,5,1,1,2,2,-1,2,2,3,6,4,1,6,10,7,7,1,1,1,3,6,2,4,2,4,-1,1,3,1,0,5,12,8,894,10,10,23.040239399341043,5,6,10
1000012,2023-02-09 12:30:00,60,21,69,70,25,49,37,68,79,51,20,14,67,23,62,5,31,18,33,17,5,2,0,2,4,2,5,2,1,4,1,3,6,6,4,3,3,4,1,3,5,3,6,2,3,2,1,2,1,4,4,2,7,4,2,3,7,4,5,4,1,3,3,4,2,3,3,9,2,2,3,4,2,3,6,3,0,5,1,3,5,3,2,3,2,2,4,4,4,7,3,2,4,3,5,1,0,4,4,4,1,6,-1,8,5,6,2,3,6,2,11,3,3,4,1,4,6,1,9,3,2,1,1,5,1,4,6,2,10,2,5,2,1,1,3,3,6,2,1,1,11,4,1,4,5,2,2,2,5,5,9,6,2,2,1,1,-1,3,3,4,7,5,1,7,11,1,1,2,2,1,1,7,1,5,3,5,-1,2,4,1,0,6,13,7,819,11,9,23.13683552032855,5,5,9
1000013,2023-02-09 12:35:00,8,58,73,27,48,55,30,53,61,22,25,67,76,37,63,18,71,80,26,2,5,3,0,2,4,2,5,3,1,4,1,3,6,6,4,3,3,5,1,3,5,4,6,2,4,3,2,2,1,5,4,2,7,4,2,3,8,4,5,4,1,3,3,4,2,3,3,10,2,2,3,4,3,3,7,3,0,6,1,3,6,3,3,3,2,2,5,4,4,7,4,2,5,3,5,2,0,4,4,5,2,7,-1,9,1,7,3,4,7,3,12,4,4,1,2,5,1,1,10,1,1,2,1,6,1,5,7,3,11,3,1,3,1,2,4,4,1,3,2,2,12,5,2,5,6,3,3,3,1,6,1,7,3,3,2,2,-1,4,4,1,8,1,2,8,12,2,1,1,1,1,2,8,2,6,4,6,-1,3,1,2,0,4,10,10,900,9,11,23.9539030991655,3,2,8
1000014,2023-02-09 12:40:00,70,52,17,66,43,60,42,31,71,80,25,46,64,75,41,68,38,69,55,63,5,3,0,2,4,2,5,3,1,4,1,3,6,6,4,3,4,5,1,3,5,4,6,2,5,3,2,2,1,5,5,2,7,4,2,3,8,5,5,4,2,4,4,4,2,4,3,10,2,2,3,5,3,3,8,3,0,6,1,4,6,3,4,4,2,3,5,5,5,8,5,2,5,3,6,2,0,4,4,6,3,1,-1,10,2,8,4,1,8,4,13,5,5,2,3,6,2,1,11,2,2,1,2,7,1,1,1,4,12,1,2,4,2,3,5,5,1,4,3,3,13,6,3,6,7,4,4,1,2,7,2,8,1,4,1,3,-1,1,5,2,1,2,1,9,13,3,1,2,2,2,1,9,1,7,5,1,-1,4,2,1,0,5,10,10,1076,4,16,17.683176661508117,7,6,10
1000015,2023-02-09 12:45:00,43,39,24,53,34,51,22,41,60,11,73,77,48,16,1,69,31,9,62,38,6,3,0,2,4,2,5,3,2,4,2,3,6,6,4,4,4,5,1,3,5,5,6,3,5,3,2,2,1,5,6,2,7,5,2,3,8,6,6,4,3,4,5,4,2,4,3,11,2,2,4,5,4,3,8,3,0,6,1,5,6,4,4,4,2,3,5,5,6,8,5,2,6,3,6,2,1,4,4,6,4,2,-1,11,3,9,5,2,9,5,14,6,6,3,4,7,1,2,12,3,3,2,3,8,1,2,2,5,13,2,1,5,3,4,6,6,2,1,4,4,1,1,1,7,8,1,5,2,3,8,3,1,2,5,1,4,-1,2,6,1,2,3,1,1,14,1,2,1,1,1,1,10,2,8,1,2,-1,5,3,1,0,6,12,8,802,10,10,21.942268749943267,4,1,9
1000016,2023-02-09 12:50:00,69,36,62,17,7,29,18,79,60,73,27,20,52,21,2,8,70,35,11,64,6,4,0,2,4,2,6,4,2,4,3,3,6,6,4,4,5,6,1,4,6,5,6,3,5,3,3,2,2,5,6,2,7,5,3,4,8,6,6,4,3,4,5,4,2,4,3,11,2,2,4,6,4,3,8,3,0,6,1,6,6,5,4,5,2,3,5,5,7,9,5,2,7,3,6,2,1,4,5,6,1,3,-1,12,4,10,6,3,1,6,1,7,7,4,5,1,2,3,13,4,4,1,4,1,2,3,3,6,14,3,1,6,4,1,7,7,3,1,1,5,1,2,1,8,9,2,6,1,4,9,1,2,1,6,2,5,-1,3,7,1,3,1,2,2,15,2,3,2,1,2,2,11,1,9,2,3,1,6,4,2,1,5,10,10,760,12,8,25.523982530367913,4,5,10
1000017,2023-02-09 12:55:00,63,60,68,36,6,66,73,29,55,70,27,30,25,75,52,37,61,41,59,40,6,4,0,2,4,3,6,4,2,4,3,3,6,6,4,4,5,6,1,4,6,5,6,3,6,3,4,2,3,6,6,2,7,5,3,5,9,6,6,5,4,4,5,4,2,4,3,11,2,2,4,7,4,3,9,3,0,6,2,7,7,5,5,5,2,4,5,6,7,10,5,2,8,3,7,2,1,4,5,6,2,1,-1,13,5,11,1,1,2,7,1,8,8,5,6,2,1,1,14,1,1,2,5,2,3,4,1,7,1,4,2,7,5,2,1,1,4,2,2,6,2,3,2,9,10,3,7,2,5,10,2,1,2,7,3,6,-1,4,8,1,4,1,3,1,16,3,4,3,1,1,3,12,1,10,3,4,2,7,1,3,0,7,11,9,973,8,12,19.296236338781334,6,5,9
1000018,2023-02-09 13:00:00,77,80,43,17,8,11,56,26,27,60,59,30,76,73,69,38,52,25,61,2,6,5,0,2,4,3,6,5,2,4,4,3,6,6,4,4,6,6,1,4,6,5,6,3,7,4,5,2,3,7,6,2,7,5,3,5,9,7,6,5,4,4,6,4,2,4,3,11,2,2,4,8,4,3,9,4,0,6,3,8,8,5,5,5,2,4,5,6,8,10,5,2,9,3,7,3,2,4,5,7,3,2,-1,14,6,1,2,2,3,8,2,9,9,6,7,3,2,2,15,2,2,3,6,3,1,5,1,8,1,1,3,8,6,3,2,1,1,3,3,1,1,4,3,10,11,4,8,3,6,11,3,1,3,8,1,7,-1,5,1,1,1,2,1,2,17,1,5,1,2,1,4,13,1,11,1,5,3,8,2,4,0,8,10,10,890,9,11,25.060978264603865,3,5,9
1000019,2023-02-09 13:05:00,47,25,79,77,10,20,75,24,68,15,59,80,38,55,23,7,50,58,29,14,6,5,0,2,4,3,7,5,2,5,4,3,6,7,5,4,6,6,1,5,6,5,7,4,8,4,5,2,4,7,6,2,7,5,3,5,9,8,6,5,4,4,6,4,2,4,4,11,2,3,4,8,4,3,10,4,0,7,4,8,8,5,5,5,2,4,5,7,8,10,5,2,9,3,8,3,3,4,6,8,4,1,-1,15,7,2,3,1,4,9,1,10,10,7,8,4,1,3,16,3,3,4,7,4,1,1,1,9,2,1,4,9,7,4,3,2,2,1,4,2,2,5,1,11,12,5,9,4,7,12,4,1,4,9,2,1,-1,6,1,1,1,3,2,3,18,2,6,2,1,2,5,14,1,12,2,1,1,9,3,1,1,5,11,9,853,10,10,25.133904549328122,5,5,7
