draw_id,draw_time,hour,number_1,number_2,number_3,number_4,number_5,number_6,number_7,number_8,number_9,number_10,number_11,number_12,number_13,number_14,number_15,number_16,number_17,number_18,number_19,number_20
1095129,1970-01-01 00:28:37.718100,0,13,66,69,28,6,15,34,44,30,24,33,65,56,26,49,76,68,40,74,18
1095128,1970-01-01 00:28:37.717800,0,60,30,62,44,71,37,47,41,34,6,23,9,43,40,66,1,80,48,7,5
1095127,1970-01-01 00:28:37.717500,0,35,42,51,46,10,9,68,36,78,32,80,4,48,11,16,14,75,38,13,37
1095126,1970-01-01 00:28:37.717200,0,48,3,58,5,65,32,42,9,34,77,54,74,31,76,46,22,63,19,39,61
1095125,1970-01-01 00:28:37.716900,0,45,59,57,71,69,52,21,40,24,74,5,29,44,56,32,35,33,12,51,75
1095124,1970-01-01 00:28:37.716600,0,59,2,25,46,66,40,4,71,41,68,34,61,54,75,49,9,70,21,57,26
1095123,1970-01-01 00:28:37.716300,0,61,28,12,73,43,44,9,47,22,66,37,45,33,25,49,76,57,54,78,42
1095122,1970-01-01 00:28:37.716000,0,67,68,66,20,36,41,59,51,8,25,80,76,57,74,1,52,37,18,44,45
1095121,1970-01-01 00:28:37.715700,0,33,58,55,17,49,72,78,14,75,2,63,34,9,19,66,29,11,68,18,52
1095120,1970-01-01 00:28:37.715400,0,48,26,53,35,44,34,7,56,13,46,58,64,8,65,37,57,76,40,33,25
1095417,1970-01-01 00:28:37.804500,0,20,30,3,18,49,59,62,77,72,13,58,43,54,75,56,55,14,48,42,10
1095416,1970-01-01 00:28:37.804200,0,33,30,52,78,56,13,7,74,69,55,31,43,17,37,32,34,80,36,5,21
1095415,1970-01-01 00:28:37.803900,0,37,49,68,52,33,51,76,38,60,22,13,54,74,7,27,5,11,1,57,39
1095414,1970-01-01 00:28:37.803600,0,77,49,15,47,40,7,51,1,22,37,54,41,10,43,29,30,9,24,63,64
1095413,1970-01-01 00:28:37.803300,0,38,55,63,28,80,75,42,65,44,6,54,17,1,23,22,27,73,36,57,41
1095412,1970-01-01 00:28:37.803000,0,56,70,7,63,38,29,30,43,73,69,8,58,31,16,51,77,34,57,22,1
1095411,1970-01-01 00:28:37.802700,0,5,52,9,44,40,13,61,25,47,34,71,56,72,32,79,76,36,8,6,60
1095410,1970-01-01 00:28:37.802400,0,3,67,69,37,77,64,30,11,41,68,15,59,55,61,19,60,71,12,32,17
1095409,1970-01-01 00:28:37.802100,0,74,76,31,30,28,34,39,25,37,20,7,3,58,78,51,52,19,43,57,8
1095408,1970-01-01 00:28:37.801800,0,45,8,23,17,33,50,71,77,56,3,37,35,61,52,30,20,4,58,38,80
1095705,1970-01-01 00:28:37.890900,0,73,78,34,72,2,19,70,45,65,56,9,57,48,41,12,13,61,42,40,69
1095704,1970-01-01 00:28:37.890600,0,49,52,27,78,30,59,65,17,5,43,1,16,79,10,25,71,67,46,80,13
1095703,1970-01-01 00:28:37.890300,0,37,50,62,66,53,15,69,6,35,47,14,32,26,57,51,17,58,41,55,12
1095702,1970-01-01 00:28:37.890000,0,38,61,57,41,55,6,45,31,56,13,48,71,62,69,20,21,80,64,29,63
1095701,1970-01-01 00:28:37.889700,0,63,76,39,54,60,75,13,15,4,38,80,46,70,1,19,74,9,18,17,52
1095700,1970-01-01 00:28:37.889400,0,21,40,43,53,38,51,28,35,32,20,49,47,77,70,54,31,45,58,8,5
1095699,1970-01-01 00:28:37.889100,0,71,62,24,15,43,68,61,63,54,3,52,51,8,67,16,42,23,36,76,10
1095698,1970-01-01 00:28:37.888800,0,21,53,79,29,1,6,49,77,45,2,16,66,73,20,35,69,51,37,75,3
1095697,1970-01-01 00:28:37.888500,0,19,24,54,71,74,50,47,41,20,35,40,7,13,69,28,61,43,33,26,56
1095696,1970-01-01 00:28:37.888200,0,23,66,11,45,27,60,67,52,74,65,8,51,12,57,24,64,53,78,41,42
1095993,1970-01-01 00:28:37.977300,0,72,23,60,6,25,7,76,55,18,43,27,10,57,54,15,59,21,14,58,71
1095992,1970-01-01 00:28:37.977000,0,19,21,39,36,60,77,30,79,52,70,55,22,73,10,7,45,35,40,3,68
1095991,1970-01-01 00:28:37.976700,0,57,55,20,5,77,37,6,25,36,56,61,27,7,44,24,41,53,69,73,64
1095990,1970-01-01 00:28:37.976400,0,10,45,14,32,70,65,8,60,23,13,55,2,73,76,7,40,57,56,50,28
1095989,1970-01-01 00:28:37.976100,0,63,26,79,32,39,69,64,72,7,73,47,10,6,11,23,12,15,33,14,34
1095988,1970-01-01 00:28:37.975800,0,9,20,7,10,43,24,58,8,73,35,38,56,37,21,63,30,40,25,39,64
1095987,1970-01-01 00:28:37.975500,0,4,40,2,22,43,51,62,64,65,9,8,72,33,25,26,13,54,68,27,29
1095986,1970-01-01 00:28:37.975200,0,56,77,43,25,30,27,39,42,36,2,26,47,7,33,60,52,12,76,15,16
1095985,1970-01-01 00:28:37.974900,0,30,54,23,38,43,66,76,80,59,8,5,50,2,56,31,60,55,51,37,13
